@relation QueryResult

@attribute itemId {111345320421,111363316019,111375677678,111383931185,111384620334,111386475877,121330121508,121361788048,121362389356,121363085170,121363909049,121363919629,121363976024,121365032708,121366810758,121367370199,121367395506,121369143969,131219822674,131222795569,131222811904,141321761257,141325759474,141326571816,141328907375,141332016508,151320642713,151326446525,151326607946,151328787834,151333579747,161334874430,161340600561,161344302063,171356441367,171357647740,181331640270,181434550476,181436578848,181439237034,181449799057,191130553757,191224231761,191225199384,191226741417,191227421323,201072206979,201108813740,201110117858,201112958308,201113129565,201113321690,201113355426,201118162755,221461325448,221462752149,221468702443,221475368034,231241297352,231247494453,231262410138,231263381144,231265924827,231266256531,231266566558,231271182650,251538218567,251551760729,251559508743,251562420324,251564238112,251567527173,251568867213,251569426570,251571648870,251572958829,261506198285,261507828860,261509178684,261511330860,261511492275,261511926506,261517257902,271519961707,271527797253,271529799027,271530624602,271532684981,271534874742,281362392209,281362392768,281363261428,281365079676,281365584320,281367859064,281368864127,281371215640,281372219171,291173457471,291175503954,301214768399,301214803895,301218981503,301221470436,310957313714,321267032127,321314252428,321434779944,321435967270,321438323003,321438778071,321440158533,321444772655,321445806537,331216589393,331226965069,331231945517,331231946018,331231946609,331231947327,331245557689,351095054096,351096605654,351098271825,351106166752}
@attribute title {'XBOX ONE - DAY ONE (BLACK BOX)  - FIRST DAY EDITION - SEALED ','Microsoft Xbox One (Unopened,Brand New)- Day One Edition 500 GB Black Console','Xbox One Day One Edition','Microsoft Xbox One (Latest Model)-500 GB Black Console','Microsoft Xbox One(Latest Model)-Day One Edition 500gb Brand New Factory Sealed','Microsoft Xbox One (Latest Model)- Day One Edition 500 GB Black Console','RYSE Son of Rome (Day One Edition) for Microsoft XBOX ONE - Sealed NEW','DEAD RISING 3 (Day One Edition) for Microsoft XBOX ONE - Brand NEW','Xbox one day one edition \"Box only\"','Microsoft Xbox One (Brand New)- Day One Edition 500 GB Black Console','Microsoft Xbox One - Day One Edition 500 GB (New and Factory Sealed)','FORZA Motorsport 5 (Day One Edition) for Microsoft XBOX ONE - Sealed NEW','Xbox one edition box all paperwork and day one achievement','Microsoft XBOX ONE (Day One 2013) 12 Month Live Gold Membership Subscription NEW','Microsoft XBOX ONE + FORZA 5 (Day One Edition) Bundle 500GB Kinect - SEALED NEW','Microsoft Xbox One (Brand New!!!)- No Kinect Edition 500 GB Black Console','Microsoft Xbox One - Day One Edition (NEW) 500 GB Black Console','Microsoft XBOX ONE + TITANFALL (Day One Edition) Bundle 500GB Kinect SEALED NEW','Xbox one day one edition BOX ONLY ','Microsoft XBOX ONE (Day One Edition) Console 500GB with Kinect - SEALED NEW','NEW MICROSOFT XBOX ONE KINNECT 500 GB BLACK CONSOLE.FREE YR Live Gold','New Sealed Microsoft Xbox One (Latest Model) Day One Edition 500GB (with Kinect)','NEW Microsoft Xbox One 500 GB Black Console Day One Edition - IN HAND SHIPS NOW','NEW Microsoft Xbox One - 500 GB Black Console - DAY ONE Edition','NEW Microsoft Xbox One with Kinect- Day One Edition 500 GB Black Console','NEW Microsoft Xbox One with Kinect- Day One Edition 500 GB Black Box','Microsoft Xbox One 500 GB Black Console','Microsoft Xbox One  Day One Edition - SEALED- 500 GB Black Console & Box /Kinect','Microsoft Day One Xbox One','xbox one day one edition','(Day One Edition) Xbox One {No Kinect}','MICROSOFT XBOX ONE 500GB CONSOLE','Microsoft Xbox One Standard Edition 500 GB Black Console Brand NEW','NEW Microsoft Xbox One Day One Edition 500 GB Black Console Sealed NR XB1 Kinect','XBOX ONE DAY ONE EDITION NEW SEALED SOLD OUT In Stock FAST SHIPPING','Microsoft XBOX ONE + RYSE (Day One Edition) Game Bundle 500GB Kinect SEALED NEW','*NEW* Day One Edition Microsoft Xbox One 500GB Black Console *SHIPS FREE* ','New Microsoft Xbox One 500GB Black Console w/ Forza Motorsport 5','*Brand New* Xbox One - Day One Limited Edition w/ Extras','Microsoft Xbox One Day One Edition Console w/Kinect NIB','XBOX ONE Day One Edition- BRAND NEW NEVER OPENED!!','New Microsoft Xbox One 500GB Black Console w/ Forza Motorsport 5 Bundle','SEALED Microsoft Xbox One Day One Edition + Titanfall & Ryse','Microsoft Xbox One Day One Edition w/ Battlefield 4','Xbox One DAY ONE Limited Edition Brand New with Midnight Launch Green Shirt','Brand New Microsoft Xbox One Day One Edition w/ Kinect & Day One Achievement','NEW SEALED Microsoft Xbox One Standard Edition 500 GB Black Console','New Microsoft Xbox One Kinect Bundle (latest model) 500 GB Black Console','Factory Sealed Brand New Microsoft Xbox One Day One Edition w/ Battlefield 4','Microsoft Xbox One 500 GB Black Console with Kinect Sensor','Microsoft Xbox One Day One Edition w/ Battlefield 4 24 hour Listing','Factory Sealed Brand New Microsoft Xbox One Day One Edition w/ Battlefield 4   ','THE NEW!!! MICROSOFT XBOX ONE (Enhanced Model) ***Trusted Seller***','Launch DAY Edition Mircosoft Xbox One Console System Black Box New','XBOX Day One Edition Brand New Sealed','Microsoft Xbox One Day One Edition Brand New SEALED','Microsoft Xbox One (Latest Model)- Day One Edition 500GB Black Console Brand New','Microsoft Xbox One (Latest Model Without Kinect) -  Black Console','Xbox One - Day One - New, Sealed!','Xbox One Day One Edition NEW','Microsoft Xbox One  500 GB Black Console',' Xbox One \"Day One\" Bundle w/all 3 Day One Games and Titanfall Set+ Many Extras ',' Xbox One Black Console','Microsoft Xbox One Day One Edition 500 GB Black Console','Microsoft Xbox One DAY ONE EDITION 2013 500 GB Black Console FACTORY SEALED NEW ','Xbox One - Day One Edition 500 GB With 2 games','Microsoft Xbox One (Latest Model) - Day One Edition 500 GB Black Console','Microsoft Xbox One (Latest Model)- Day One Edition 500 GB Black Console NIB','Microsoft Xbox One- New Black 500GB - Console Only + 1 Month Live Subscription','Microsoft Xbox One(Original Model) Brand NEW, Factory Sealed & XTRA CONTROLLER!!','Microsoft Xbox One: Day One Edition w/ Achievement & Kinect','Xbox One Day One Edition With Call Of Duty Ghost And NBA 2k14','Microsoft Xbox One - Day One Edition 500 GB Black Box & Black Console NIB ','New Sealed Microsoft Xbox One Standard Edition Bundle Black Console Kinect 500GB','Microsoft Xbox One (Latest Model)  500 GB Black Console without Kinect..'}
@attribute categoryId {139971}
@attribute productId {175299667}
@attribute postalCode {27239,05446,01085,11373,91601,48322,92375,47834,13205,11421,01610,29445,91321,53221,63141,39216,01832,66610,14303,16335,91775,29662,77510,10468,07042,24382,60106,0,98589,75240,77035,64089,32826,20904,19006,24153,10549,19720,32804,48103,80310,90270,92618,11206,66226,32817,19040,02062,11385,37160,62896,19454,93535,23803,01742,30044,92801,72209,64118,10038,17522,19401,27260,68116,48111,67401,18210,46107,45069,18661,80303,54235,53204,30809,11558,96818,63021,21042,94127,32931,07626,03874,07065,23233,50265,98058,95350}
@attribute country {US}
@attribute feedbackScore numeric
@attribute positiveFeedbackPercent numeric
@attribute feedbackRatingStar {Red,Yellow,Purple,Turquoise,YellowShooting,Blue,None,Green,TurquoiseShooting}
@attribute topRatedSeller numeric
@attribute shippingServiceCost numeric
@attribute shippingType {Calculated,FlatDomesticCalculatedInternational,Free,Flat,FreePickup}
@attribute expeditedShipping numeric
@attribute oneDayShippingAvailable numeric
@attribute handlingTime numeric
@attribute bidCount numeric
@attribute bestOfferEnabled numeric
@attribute buyItNowAvailable numeric
@attribute endTime {2014-06-28,2014-06-17,2014-06-15,2014-06-18,2014-06-20,2014-06-19,2014-06-14,2014-06-21,2014-06-23,2014-06-26,2014-06-27,2014-06-22,2014-06-25,2014-06-29,2014-06-24,2014-06-16,2014-06-30}
@attribute listingType {FixedPrice,Auction,StoreInventory}
@attribute returnsAccepted numeric
@attribute conditionId numeric
@attribute topRatedListing numeric
@attribute convertedCurrentPrice numeric

@data
111345320421,'XBOX ONE - DAY ONE (BLACK BOX)  - FIRST DAY EDITION - SEALED ',139971,175299667,27239,US,1122,100,Red,0,0,Calculated,1,0,1,0,1,0,2014-06-28,FixedPrice,1,1000,0,490
111363316019,'Microsoft Xbox One (Unopened,Brand New)- Day One Edition 500 GB Black Console',139971,175299667,05446,US,18,100,Yellow,0,0,FlatDomesticCalculatedInternational,0,0,3,0,0,0,2014-06-17,FixedPrice,0,1000,0,510
111375677678,'Xbox One Day One Edition',139971,175299667,01085,US,43,100,Yellow,0,0,Calculated,1,0,2,2,0,0,2014-06-15,Auction,0,1000,0,410
111383931185,'Microsoft Xbox One (Latest Model)-500 GB Black Console',139971,175299667,11373,US,958,100,Purple,0,0,FlatDomesticCalculatedInternational,1,0,2,0,1,0,2014-06-17,FixedPrice,0,1000,0,480
111384620334,'Microsoft Xbox One(Latest Model)-Day One Edition 500gb Brand New Factory Sealed',139971,175299667,91601,US,104,100,Turquoise,0,0,Calculated,1,0,2,0,0,0,2014-06-18,FixedPrice,0,1000,0,460
111386475877,'Microsoft Xbox One (Latest Model)- Day One Edition 500 GB Black Console',139971,175299667,48322,US,236,100,Turquoise,0,0,Free,0,0,2,0,0,0,2014-06-20,FixedPrice,1,1000,0,469.99
121330121508,'Microsoft Xbox One (Latest Model)- Day One Edition 500 GB Black Console',139971,175299667,48322,US,236,100,Turquoise,0,0,Free,0,0,2,0,0,0,2014-06-19,FixedPrice,1,1000,0,469.99
121361788048,'RYSE Son of Rome (Day One Edition) for Microsoft XBOX ONE - Sealed NEW',139971,175299667,92375,US,16762,99.5,YellowShooting,0,0,Free,1,1,1,0,0,0,2014-06-18,StoreInventory,1,1000,0,48.99
121362389356,'DEAD RISING 3 (Day One Edition) for Microsoft XBOX ONE - Brand NEW',139971,175299667,92375,US,16762,99.5,YellowShooting,0,0,Free,1,1,1,0,1,0,2014-06-15,StoreInventory,1,1000,0,65
121363085170,'Xbox one day one edition \"Box only\"',139971,175299667,47834,US,30,100,Yellow,0,0,Calculated,1,0,2,7,0,0,2014-06-14,Auction,0,1000,0,123.5
121363909049,'Xbox one day one edition \"Box only\"',139971,175299667,47834,US,30,100,Yellow,0,0,Calculated,1,0,2,23,0,0,2014-06-15,Auction,0,1000,0,208.1
121363919629,'Microsoft Xbox One (Brand New)- Day One Edition 500 GB Black Console',139971,175299667,13205,US,66,100,Blue,0,0,Free,1,0,2,83,0,0,2014-06-21,Auction,0,1000,0,415
121363976024,'Microsoft Xbox One - Day One Edition 500 GB (New and Factory Sealed)',139971,175299667,11421,US,113,100,Turquoise,0,0,Free,1,0,2,0,1,0,2014-06-17,FixedPrice,0,1000,0,480
121365032708,'FORZA Motorsport 5 (Day One Edition) for Microsoft XBOX ONE - Sealed NEW',139971,175299667,92375,US,16762,99.5,YellowShooting,0,0,Free,1,1,1,0,0,0,2014-06-23,StoreInventory,1,1000,0,49.98
121366810758,'Xbox one edition box all paperwork and day one achievement',139971,175299667,47834,US,30,100,Yellow,0,0,Calculated,1,0,2,22,0,0,2014-06-19,Auction,0,1000,0,232.5
121367370199,'Microsoft XBOX ONE (Day One 2013) 12 Month Live Gold Membership Subscription NEW',139971,175299667,92375,US,16762,99.5,YellowShooting,0,0,Free,1,1,1,0,0,0,2014-06-20,StoreInventory,1,1000,0,61.99
121367395506,'Microsoft XBOX ONE + FORZA 5 (Day One Edition) Bundle 500GB Kinect - SEALED NEW',139971,175299667,92375,US,16762,99.5,YellowShooting,0,0,Free,1,1,1,0,0,0,2014-06-23,StoreInventory,1,1000,0,559.99
121369143969,'Microsoft Xbox One (Brand New!!!)- No Kinect Edition 500 GB Black Console',139971,175299667,13205,US,66,100,Blue,0,0,Free,1,0,2,49,0,0,2014-06-28,Auction,0,1000,0,365
131219822674,'Microsoft Xbox One (Latest Model)- Day One Edition 500 GB Black Console',139971,175299667,01610,US,39,100,Yellow,0,0,Calculated,1,0,2,19,0,0,2014-06-26,Auction,0,1000,0,401
131222795569,'Microsoft Xbox One - Day One Edition (NEW) 500 GB Black Console',139971,175299667,29445,US,307,0,Turquoise,0,0,Flat,0,0,3,1,0,0,2014-06-27,Auction,1,1000,0,375
131222811904,'Microsoft Xbox One - Day One Edition (NEW) 500 GB Black Console',139971,175299667,29445,US,307,0,Turquoise,0,0,Flat,0,0,2,1,0,0,2014-06-27,Auction,1,1000,0,375
141321761257,'Microsoft XBOX ONE + TITANFALL (Day One Edition) Bundle 500GB Kinect SEALED NEW',139971,175299667,92375,US,16762,99.5,YellowShooting,0,0,Free,1,1,1,0,0,0,2014-06-20,StoreInventory,1,1000,0,564.99
141325759474,'Xbox one day one edition BOX ONLY ',139971,175299667,91321,US,422,100,Turquoise,0,0,Flat,1,0,2,1,0,0,2014-06-26,Auction,0,1000,0,29.99
141326571816,'DEAD RISING 3 (Day One Edition) for Microsoft XBOX ONE - Brand NEW',139971,175299667,92375,US,16762,99.5,YellowShooting,0,0,Free,1,1,1,0,0,0,2014-06-22,StoreInventory,1,1000,0,78.98
141328907375,'Microsoft XBOX ONE (Day One Edition) Console 500GB with Kinect - SEALED NEW',139971,175299667,92375,US,16762,99.5,YellowShooting,0,0,Free,1,1,1,0,0,0,2014-06-25,StoreInventory,1,1000,0,529.99
141332016508,'NEW MICROSOFT XBOX ONE KINNECT 500 GB BLACK CONSOLE.FREE YR Live Gold',139971,175299667,53221,US,0,0,None,0,0,Free,1,0,2,0,1,0,2014-06-28,FixedPrice,1,1000,0,430
151320642713,'New Sealed Microsoft Xbox One (Latest Model) Day One Edition 500GB (with Kinect)',139971,175299667,63141,US,113,100,Turquoise,0,0,Free,0,0,1,0,0,0,2014-06-20,StoreInventory,1,1000,0,420
151326446525,'NEW Microsoft Xbox One 500 GB Black Console Day One Edition - IN HAND SHIPS NOW',139971,175299667,39216,US,1219,100,Red,1,0,Free,0,0,1,0,0,0,2014-06-19,StoreInventory,1,1000,1,484.98
151326607946,'Microsoft Xbox One (Latest Model)- Day One Edition 500 GB Black Console',139971,175299667,01832,US,0,0,None,0,0,Calculated,1,0,2,16,0,0,2014-06-20,Auction,0,1000,0,357.5
151328787834,'NEW Microsoft Xbox One - 500 GB Black Console - DAY ONE Edition',139971,175299667,66610,US,8,100,None,0,0,Calculated,1,0,2,24,0,0,2014-06-19,Auction,0,1000,0,500
151333579747,'Microsoft Xbox One (Latest Model)- Day One Edition 500 GB Black Console',139971,175299667,14303,US,55,100,Blue,0,0,Free,1,0,2,1,0,0,2014-06-20,Auction,1,1000,0,400
161334874430,'Microsoft Xbox One (Latest Model)- Day One Edition 500 GB Black Console',139971,175299667,16335,US,659,100,Purple,0,0,Calculated,1,0,2,8,0,0,2014-06-19,Auction,1,1000,0,385
161340600561,'NEW Microsoft Xbox One with Kinect- Day One Edition 500 GB Black Console',139971,175299667,91775,US,95,100,Blue,0,0,Flat,1,0,2,13,0,0,2014-06-21,Auction,0,1000,0,422
161344302063,'NEW Microsoft Xbox One with Kinect- Day One Edition 500 GB Black Box',139971,175299667,91775,US,95,100,Blue,0,0,Flat,1,0,2,13,0,0,2014-06-25,Auction,0,1000,0,420.99
171356441367,'Microsoft Xbox One 500 GB Black Console',139971,175299667,29662,US,59,100,Blue,0,0,FlatDomesticCalculatedInternational,0,0,3,41,0,0,2014-06-15,Auction,0,1000,0,511.52
171357647740,'Microsoft Xbox One  Day One Edition - SEALED- 500 GB Black Console & Box /Kinect',139971,175299667,77510,US,249,100,Turquoise,0,0,Flat,0,0,2,6,0,0,2014-06-20,Auction,0,1000,0,425
181331640270,'Microsoft Day One Xbox One',139971,175299667,10468,US,334,91.7,Turquoise,0,0,FlatDomesticCalculatedInternational,1,0,3,0,1,0,2014-06-22,FixedPrice,0,1000,0,460
